('ne', 'da'): 0.005947412353923205
('da', 'ni'): 0.004251039904922978
('wtspc', 'tur'): 0.003428023820932302
('tur', 'kis'): 0.00550357732526142
('kis', 'tan'): 0.05065666041275797
('tan', 'da'): 0.031011235955056178
('ka', 'ra'): 0.0750122249388753
('ra', 'wtspc'): 0.2468456572769953
('wtspc', 'hi'): 0.001056882743514272
('hi', 'tay'): 0.005751258087706686
('tay', 'wtspc'): 0.3434650455927052
('wtspc', 'ma'): 0.004525977137381066
('ma', 've'): 0.0008475773414324058
('ve', 'r'): 0.0008513425016371971
('r', 'aun'): 0.013220018885741265
('aun', 'ne'): 0.8
('ne', 'hir'): 0.0038606010016694493
('hir', 'wtspc'): 0.40583554376657827
('ha', 'rezm'): 0.007592190889370932
('rezm', 'wtspc'): 0.09523809523809523
('wtspc', 'ho'): 0.0005065370661920734
('ho', 'ra'): 0.10298102981029811
('ra', 'san'): 0.0029342723004694834
('san', 'wtspc'): 0.579415501905972
('i', 'ran'): 0.005276095689189999
('ran', 'da'): 0.03686150605581885
('wtspc', 'har'): 0.0004627284550619481
('har', 'zem'): 0.026402640264026403
('zem', 'sah'): 0.2857142857142857
('sah', 'lar'): 0.05945945945945946
('lar', 'wtspc'): 0.5571464143426295
('i', 'le'): 0.18682175190359135
('le', 'wtspc'): 0.285942939458205
('wtspc', 'kaf'): 5.749880210828941e-05
('kaf', 'kas'): 0.8
('kas', 'ya'): 0.10638297872340426
('wtspc', 'gur'): 0.00012594975699911013
('gur', 'cu'): 0.049079754601226995
('cu', 'ler'): 0.006086142322097378
('ler', 'wtspc'): 0.565078093712455
('wtspc', 'des'): 0.0007912930385378876
('des', 'ti'): 0.007462686567164179
('wtspc', 'kip'): 1.6428229173796974e-05
('kip', 'cak'): 0.025510204081632654
('cak', 'ta'): 0.0038289725590299937
('ta', 'ki'): 0.041584158415841586
('wtspc', 'rus'): 0.0004353480731056198
('rus', 'wtspc'): 0.30919765166340507
('k', 'nez'): 0.004597701149425287
('nez', 'lik'): 0.04
('lik', 'le'): 0.16431679721496953
('cak', 'lar'): 0.01595405232929164
('i', 'dil'): 0.0002997781641585227
('dil', 'wtspc'): 0.2688652878703186
('wtspc', 'bul'): 0.0006215346704086522
('bul', 'gar'): 0.01287128712871287
('gar', 'la'): 0.055865921787709494
('la', 'ri'): 0.21035297248744136
('u', 'ze'): 0.2250093597903407
('ze', 'ri'): 0.16077998528329654
('ri', 'ne'): 0.05489152681129759
('wtspc', 'ger'): 0.001505921007598056
('ger', 'cek'): 0.26202928870292885
('cek', 'les'): 0.21816638370118846
('ti', 'ri'): 0.039986808475554456
('ri', 'len'): 0.014572247237003684
('wtspc', 'se'): 0.007748648093640906
('se', 'fer'): 0.009538002980625931
('fer', 'ler'): 0.03550295857988166
('wtspc', 'so'): 0.004879184064617702
('so', 'nu'): 0.22699673049976646
('nu', 'cun'): 0.033752860411899316
('cun', 'da'): 0.37751004016064255
('wtspc', 'pa'): 0.0021247176398110756
('pa', 'si'): 0.07253685027152831
('si', 'fik'): 0.0008347632518666233
('fik', 'wtspc'): 0.5340314136125655
('wtspc', 'ok'): 0.0005065370661920734
('ok', 'ya'): 0.3282051282051282
('ya', 'nu'): 0.001975710384101342
('nu', 'sun'): 0.032036613272311214
('sun', 'dan'): 0.030658250676284943
('ha', 'zar'): 0.0034345625451916123
('zar', 'wtspc'): 0.4183381088825215
('de', 'ni'): 0.01630153121319199
('ni', 'zi'): 0.004426674282450378
('zi', 'ne'): 0.018364928909952605
('ra', 'de'): 0.007115610328638498
('ni', 'zin'): 0.0027131229473082966
('zin', 'wtspc'): 0.4542372881355932
('ku', 'ze'): 0.014151883595774368
('ze', 'yi'): 0.030537159676232523
('yi', 'ne'): 0.03859595806108494
('ka', 'dar'): 0.07784841075794621
('u', 'za'): 0.021901909397229503
('za', 'nan'): 0.035780842340663435
('nan', 'wtspc'): 0.8233846153846154
('wtspc', 'im'): 0.0008734341844068724
('im', 'pa'): 0.34782608695652173
('tor', 'luk'): 0.07431340872374798
('luk', 'wtspc'): 0.5159362549800797
('wtspc', 'kur'): 0.001459374358272298
('kur', 'du'): 0.18662519440124417
('du', 'endsntnc'): 0.21336840476558874
('endsntnc', 'boz'): 3.362700921380053e-05
('ge', 'le'): 0.07002380057622448
('le', 'ne'): 0.011043975831299268
('ne', 'gin'): 0.027337228714524205
('gin', 'den'): 0.05025553662691652
('den', 'wtspc'): 0.9051047120418848
('ge', 'len'): 0.04710008768633346
('wtspc', 'on'): 0.003318502293106989
('on', 'lu'): 0.0023148148148148147
('lu', 'wtspc'): 0.30677032717849045
('wtspc', 'tes'): 0.0006981997398863714
('tes', 'ki'): 0.08064516129032258
('ki', 'la'): 0.011781912732591208
('la', 'ti'): 0.004025416680528295
('wtspc', 'kul'): 0.005550003422547745
('kul', 'la'): 0.6419965576592083
('la', 'na'): 0.014504807212482118
('na', 'rak'): 0.028857208553690502
('wtspc', 'me'): 0.002529947292764734
('me', 'ri'): 0.04484629294755877
('ri', 'tok'): 4.0933278755628324e-05
('tok', 'ra'): 0.18181818181818182
('ra', 'tik'): 0.0077024647887323945
('tik', 'wtspc'): 0.6445652173913043
('wtspc', 'li'): 0.0020097200355944965
('li', 'ya'): 0.0018522553933318807
('ya', 'ka'): 0.00505549421814167
('ka', 'ta'): 0.004009779951100244
